Depth,BC
1604.015,0.112
1604.025,0.199
1604.035,0.214
1604.045,0.239
1604.055,0.278
1604.065,0.395
1604.075,0.446
1604.085,0.456
1604.095,0.429
1604.105,0.316
1604.115,0.169
1604.125,0.064
1604.135,0.088
1604.145,0.114
1604.155,0.141
1604.165,0.187
1604.175,0.226
1604.185,0.24
1604.195,0.215
1604.205,0.147
1604.215,0.121
1604.225,0.09
1604.235,0.094
1604.245,0.134
1604.255,0.162
1604.265,0.238
1604.275,0.328
1604.285,0.557
1604.295,0.667
1604.305,0.749
1604.315,0.652
1604.325,0.41
1604.335,0.246
1604.345,0.086
1604.355,0.088
1604.365,0.09
1604.375,0.098
1604.385,0.117
1604.395,0.161
1604.405,0.199
1604.415,0.253
1604.425,0.216
1604.435,0.188
1604.445,0.131
1604.455,0.12
1604.465,0.115
1604.475,0.101
1604.485,0.121
1604.495,0.182
1604.505,0.197
1604.515,0.264
1604.525,0.285
1604.535,0.329
1604.545,0.316
1604.555,0.266
1604.565,0.208
1604.575,0.174
1604.585,0.176
1604.595,0.122
1604.605,0.081
1604.615,0.055
1604.625,0.077
1604.635,0.083
1604.645,0.096
1604.655,0.091
1604.665,0.094
1604.675,0.089
1604.685,0.069
1604.695,0.073
1604.705,0.066
1604.715,0.056
1604.725,0.107
1604.735,0.127
1604.745,0.15
1604.755,0.16
1604.765,0.212
1604.775,0.242
1604.785,0.251
1604.795,0.27
1604.805,0.312
1604.815,0.304
1604.825,0.281
1604.835,0.213
1604.845,0.139
1604.855,0.098
1604.865,0.071
1604.875,0.081
1604.885,0.102
1604.895,0.135
1604.905,0.17
1604.915,0.175
1604.925,0.203
1604.935,0.264
1604.945,0.318
1604.955,0.321
1604.965,0.284
1604.975,0.23
1604.985,0.133
1604.995,0.119
1605.005,0.144
1605.015,0.161
1605.025,0.238
1605.035,0.37
1605.045,0.403
1605.055,0.348
1605.065,0.292
1605.075,0.163
1605.085,0.091
1605.095,0.077
1605.105,0.09
1605.115,0.091
1605.125,0.135
1605.135,0.155
1605.145,0.227
1605.155,0.223
1605.165,0.22
1605.175,0.206
1605.185,0.175
1605.195,0.159
1605.205,0.157
1605.215,0.21
1605.225,0.253
1605.235,0.257
1605.245,0.285
1605.255,0.241
1605.265,0.257
1605.275,0.284
1605.285,0.271
1605.295,0.258
1605.305,0.19
1605.315,0.119
1605.325,0.123
1605.335,0.118
1605.345,0.14
1605.355,0.196
1605.365,0.211
1605.375,0.172
1605.385,0.165
1605.395,0.199
1605.405,0.226
1605.415,0.214
1605.425,0.174
1605.435,0.126
1605.445,0.06
1605.455,0.071
1605.465,0.084
1605.475,0.116
1605.485,0.092
1605.495,0.116
1605.505,0.118
1605.515,0.154
1605.525,0.207
1605.535,0.225
1605.545,0.246
1605.555,0.216
1605.565,0.175
1605.575,0.126
1605.585,0.088
1605.595,0.072
1605.605,0.069
1605.615,0.07
1605.625,0.093
1605.635,0.131
1605.645,0.157
1605.655,0.176
1605.665,0.203
1605.675,0.261
1605.685,0.27
1605.695,0.263
1605.705,0.249
1605.715,0.185
1605.725,0.149
1605.735,0.15
1605.745,0.128
1605.755,0.23
1605.765,0.282
1605.775,0.369
1605.785,0.442
1605.795,0.512
1605.805,0.459
1605.815,0.288
1605.825,0.152
1605.835,0.12
1605.845,0.112
1605.855,0.156
1605.865,0.164
1605.875,0.162
1605.885,0.172
1605.895,0.201
1605.905,0.235
1605.915,0.188
1605.925,0.132
1605.935,0.122
1605.945,0.125
1605.955,0.196
1605.965,0.233
1605.975,0.329
1605.985,0.403
1605.995,0.511
1606.005,0.563
1606.015,0.524
1606.025,0.294
1606.035,0.12
1606.045,0.047
1606.055,0.054
1606.065,0.064
1606.075,0.091
1606.085,0.107
1606.095,0.182
1606.105,0.25
1606.115,0.265
1606.125,0.218
1606.135,0.13
1606.145,0.087
1606.155,0.097
1606.165,0.084
1606.175,0.099
1606.185,0.143
1606.195,0.152
1606.205,0.144
1606.215,0.119
1606.225,0.119
1606.235,0.11
1606.245,0.08
1606.255,0.053
1606.265,0.059
1606.275,0.079
1606.285,0.063
1606.295,0.076
1606.305,0.1
1606.315,0.089
1606.325,0.117
1606.335,0.165
1606.365,0.181
1606.375,0.168
1606.385,0.137
1606.395,0.189
1606.405,0.229
1606.415,0.261
1606.425,0.334
1606.435,0.371
1606.445,0.444
1606.455,0.381
1606.465,0.397
1606.475,0.295
1606.485,0.239
1606.495,0.204
1606.505,0.232
1606.515,0.255
1606.525,0.35
1606.535,0.459
1606.545,0.597
1606.555,0.893
1606.565,1.089
1606.575,1.144
1606.585,0.977
1606.595,0.55
1606.605,0.262
1606.615,0.16
1606.625,0.131
1606.635,0.126
1606.645,0.149
1606.655,0.184
1606.665,0.26
1606.675,0.316
1606.685,0.405
1606.695,0.487
1606.705,0.667
1606.715,0.731
1606.725,0.719
1606.735,0.431
1606.745,0.272
1606.755,0.192
1606.765,0.116
1606.775,0.099
1606.785,0.132
1606.795,0.132
1606.805,0.158
1606.815,0.194
1606.825,0.244
1606.835,0.243
1606.845,0.185
1606.855,0.145
1606.865,0.173
1606.875,0.229
1606.885,0.315
1606.895,0.391
1606.905,0.401
1606.915,0.453
1606.925,0.442
1606.935,0.374
1606.945,0.263
1606.955,0.124
1606.965,0.066
1606.975,0.053
1606.985,0.073
1606.995,0.086
1607.005,0.111
1607.015,0.134
1607.025,0.166
1607.035,0.184
1607.045,0.164
1607.055,0.158
1607.065,0.11
1607.075,0.09
1607.085,0.119
1607.095,0.163
1607.105,0.204
1607.115,0.251
1607.125,0.254
1607.135,0.245
1607.145,0.201
1607.155,0.159
1607.165,0.102
1607.175,0.083
1607.185,0.088
1607.195,0.1
1607.205,0.1
1607.215,0.128
1607.225,0.155
1607.235,0.166
1607.245,0.199
1607.255,0.207
1607.265,0.184
1607.275,0.194
1607.285,0.214
1607.295,0.227
1607.305,0.161
1607.315,0.13
1607.325,0.091
1607.335,0.082
1607.345,0.101
1607.355,0.127
1607.365,0.157
1607.375,0.194
1607.385,0.201
1607.395,0.205
1607.405,0.185
1607.415,0.121
1607.425,0.104
1607.435,0.114
1607.445,0.162
1607.455,0.199
1607.465,0.235
1607.475,0.302
1607.485,0.315
1607.495,0.312
1607.505,0.198
1607.515,0.095
1607.525,0.082
1607.535,0.101
1607.545,0.106
1607.555,0.161
1607.565,0.17
1607.575,0.213
1607.585,0.26
1607.595,0.353
1607.605,0.415
1607.615,0.367
1607.625,0.296
1607.635,0.163
1607.645,0.102
1607.655,0.087
1607.665,0.104
1607.675,0.138
1607.685,0.189
1607.695,0.234
1607.705,0.29
1607.715,0.428
1607.725,0.621
1607.735,0.673
1607.745,0.579
1607.755,0.466
1607.765,0.255
1607.775,0.064
1607.785,0.038
1607.795,0.036
1607.805,0.03
1607.865,0.53
1607.875,0.388
1607.885,0.255
1607.895,0.162
1607.905,0.111
1607.915,0.101
1607.925,0.097
1607.935,0.085
1607.945,0.123
1607.955,0.18
1607.965,0.316
1607.975,0.377
1607.985,0.37
1607.995,0.371
1608.005,0.292
1608.015,0.152
1608.025,0.081
1608.035,0.073
1608.045,0.093
1608.055,0.097
1608.065,0.153
1608.075,0.197
1608.085,0.249
1608.095,0.317
1608.105,0.374
1608.115,0.379
1608.125,0.366
1608.135,0.186
1608.145,0.144
1608.155,0.117
1608.165,0.182
1608.175,0.238
1608.185,0.26
1608.195,0.393
1608.205,0.55
1608.215,0.71
1608.225,1.119
1608.235,1.377
1608.245,1.739
1608.255,1.86
1608.265,1.379
1608.275,0.709
1608.285,0.345
1608.295,0.224
1608.305,0.203
1608.315,0.158
1608.325,0.147
1608.335,0.104
1608.345,0.092
1608.355,0.117
1608.365,0.2
1608.375,0.268
1608.385,0.296
1608.395,0.335
1608.405,0.328
1608.415,0.272
1608.425,0.232
1608.435,0.231
1608.445,0.249
1608.455,0.281
1608.465,0.298
1608.475,0.211
1608.485,0.239
1608.495,0.269
1608.505,0.312
1608.515,0.357
1608.525,0.311
1608.535,0.178
1608.545,0.079
1608.555,0.08
1608.565,0.056
1608.575,0.096
1608.585,0.095
1608.595,0.123
1608.605,0.164
1608.615,0.178
1608.625,0.21
1608.635,0.306
1608.645,0.365
1608.655,0.379
1608.665,0.348
1608.675,0.233
1608.685,0.155
1608.695,0.116
1608.705,0.095
1608.715,0.123
1608.725,0.13
1608.735,0.158
1608.745,0.224
1608.755,0.241
1608.765,0.321
1608.775,0.487
1608.785,0.457
1608.795,0.442
1608.805,0.363
1608.815,0.255
1608.825,0.222
1608.835,0.154
1608.845,0.113
1608.855,0.11
1608.865,0.127
1608.875,0.16
1608.885,0.191
1608.895,0.288
1608.905,0.369
1608.915,0.374
1608.925,0.336
1608.935,0.319
1608.945,0.169
1608.955,0.079
1608.965,0.074
1608.975,0.074
1608.985,0.099
1608.995,0.118
1609.005,0.145
1609.015,0.169
1609.025,0.186
1609.035,0.202
1609.045,0.135
1609.055,0.099
1609.065,0.103
1609.075,0.078
1609.085,0.08
1609.095,0.081
1609.105,0.106
1609.115,0.117
1609.125,0.11
1609.135,0.12
1609.145,0.146
1609.155,0.184
1609.165,0.198
1609.175,0.204
1609.185,0.121
1609.195,0.068
1609.205,0.057
1609.215,0.054
1609.225,0.09
1609.235,0.098
1609.245,0.097
1609.255,0.115
1609.265,0.113
1609.275,0.128
1609.285,0.142
1609.295,0.155
1609.305,0.155
1609.315,0.151
1609.325,0.155
1609.335,0.23
1609.345,0.236
1609.355,0.247
1609.365,0.319
1609.375,0.34
1609.385,0.327
1609.395,0.313
1609.405,0.352
1609.415,0.271
1609.425,0.176
1609.435,0.106
1609.445,0.096
1609.455,0.075
1609.465,0.065
1609.475,0.055
1609.485,0.056
1609.495,0.062
1609.505,0.069
1609.515,0.062
1609.525,0.076
1609.535,0.108
1609.545,0.099
1609.555,0.111
1609.565,0.208
1609.575,0.206
1609.585,0.215
1609.595,0.244
1609.605,0.18
1609.615,0.139
1609.625,0.142
1609.635,0.111
1609.645,0.112
1609.655,0.106
1609.665,0.15
1609.675,0.175
1609.685,0.22
1609.695,0.271
1609.705,0.351
1609.715,0.455
1609.725,0.405
1609.735,0.346
1609.745,0.18
1609.755,0.117
1609.765,0.131
1609.775,0.088
1609.785,0.113
1609.795,0.138
1609.805,0.166
1609.815,0.214
1609.825,0.29
1609.835,0.411
1609.845,0.472
1609.855,0.471
1609.865,0.354
1609.875,0.296
1609.885,0.242
1609.895,0.212
1609.905,0.171
1609.915,0.105
1609.925,0.098
1609.935,0.119
1609.945,0.167
1609.955,0.195
1609.965,0.235
1609.975,0.283
1609.985,0.425
1609.995,0.509
1610.005,0.547
1610.015,0.437
1610.025,0.215
1610.035,0.136
1610.045,0.139
1610.055,0.183
1610.065,0.199
1610.075,0.274
1610.085,0.391
1610.095,0.464
1610.105,0.681
1610.115,0.792
1610.125,0.76
1610.135,0.55
1610.145,0.32
1610.155,0.275
1610.165,0.191
1610.175,0.146
1610.185,0.149
1610.195,0.202
1610.205,0.323
1610.215,0.452
1610.225,0.621
1610.235,0.884
1610.245,1.055
1610.255,1.103
1610.265,0.815
1610.275,0.562
1610.285,0.457
1610.295,0.341
1610.305,0.162
1610.315,0.092
1610.325,0.107
1610.335,0.093
1610.345,0.095
1610.355,0.113
1610.365,0.105
1610.375,0.116
1610.385,0.112
1610.395,0.09
1610.405,0.115
1610.415,0.175
1610.425,0.169
1610.435,0.153
1610.445,0.135
1610.455,0.164
1610.465,0.221
1610.475,0.335
1610.485,0.385
1610.495,0.407
1610.505,0.29
1610.515,0.12
1610.525,0.086
1610.535,0.086
1610.545,0.06
1610.555,0.045
1610.565,0.031
1610.575,0.049
1610.585,0.067
1610.595,0.06
1610.605,0.082
1610.615,0.086
1610.625,0.134
1610.635,0.174
1610.645,0.231
1610.655,0.279
1610.665,0.392
1610.675,0.438
1610.685,0.318
1610.695,0.119
1610.705,0.045
1610.715,0.059
1610.725,0.113
1610.735,0.109
1610.745,0.154
1610.755,0.226
1610.765,0.245
1610.775,0.307
1610.785,0.243
1610.795,0.134
1610.805,0.101
1610.815,0.096
1610.825,0.094
1610.835,0.119
1610.845,0.124
1610.855,0.193
1610.865,0.217
1610.875,0.275
1610.885,0.28
1610.895,0.265
1610.905,0.16
1610.915,0.129
1610.925,0.123
1610.935,0.136
1610.945,0.162
1610.955,0.146
1610.965,0.122
1610.975,0.116
1610.985,0.152
1610.995,0.222
1611.005,0.232
1611.015,0.284
1611.025,0.432
1611.035,0.512
1611.045,0.324
1611.055,0.178
1611.065,0.156
1611.075,0.149
1611.085,0.156
1611.095,0.11
1611.105,0.08
1611.115,0.093
1611.125,0.133
1611.135,0.166
1611.145,0.2
1611.155,0.252
1611.165,0.214
1611.175,0.131
1611.185,0.099
1611.195,0.075
1611.205,0.127
1611.215,0.156
1611.225,0.17
1611.235,0.211
1611.245,0.278
1611.255,0.404
1611.265,0.561
1611.275,0.631
1611.285,0.496
1611.295,0.259
1611.305,0.124
1611.315,0.119
1611.325,0.114
1611.335,0.114
1611.345,0.146
1611.355,0.165
1611.365,0.251
1611.375,0.287
1611.385,0.358
1611.395,0.29
1611.405,0.167
1611.415,0.13
1611.425,0.117
1611.435,0.127
1611.445,0.126
1611.455,0.158
1611.465,0.189
1611.475,0.233
1611.485,0.303
1611.495,0.33
1611.505,0.359
1611.515,0.378
1611.525,0.356
1611.535,0.283
1611.545,0.158
1611.555,0.055
1611.565,0.072
1611.575,0.086
1611.585,0.097
1611.595,0.171
1611.605,0.177
1611.615,0.227
1611.625,0.302
1611.635,0.292
1611.645,0.285
1611.655,0.252
1611.665,0.202
1611.675,0.244
1611.685,0.251
1611.695,0.26
1611.705,0.32
1611.715,0.401
1611.725,0.431
1611.735,0.37
1611.745,0.416
1611.755,0.5
1611.765,0.658
1611.775,0.667
1611.785,0.696
1611.795,0.641
1611.805,0.322
1611.815,0.151
1611.825,0.129
1611.835,0.155
1611.845,0.182
1611.855,0.249
1611.865,0.269
1611.875,0.359
1611.885,0.417
1611.895,0.433
1611.905,0.39
1611.915,0.262
1611.925,0.108
1611.935,0.083
1611.945,0.105
1611.955,0.128
1611.965,0.173
1611.975,0.198
1611.985,0.242
1611.995,0.323
1612.005,0.468
1612.015,0.487
1612.025,0.531
1612.035,0.503
1612.045,0.369
1612.055,0.195
1612.065,0.136
1612.075,0.117
1612.085,0.112
1612.095,0.132
1612.105,0.166
1612.115,0.207
1612.125,0.267
1612.135,0.304
1612.145,0.256
1612.155,0.161
1612.165,0.135
1612.175,0.117
1612.185,0.099
1612.195,0.077
1612.205,0.081
1612.215,0.102
1612.225,0.117
1612.235,0.114
1612.245,0.094
1612.255,0.125
1612.265,0.118
1612.275,0.137
1612.285,0.173
1612.295,0.185
1612.305,0.15
1612.315,0.129
1612.325,0.139
1612.335,0.159
1612.345,0.163
1612.355,0.226
1612.365,0.326
1612.375,0.366
1612.385,0.516
1612.395,0.671
1612.405,0.843
1612.415,0.8
1612.425,0.407
1612.435,0.181
1612.445,0.118
1612.455,0.122
1612.465,0.141
1612.475,0.166
1612.485,0.174
1612.495,0.182
1612.505,0.202
1612.515,0.199
1612.525,0.276
1612.535,0.344
1612.545,0.381
1612.555,0.315
1612.565,0.299
1612.575,0.38
1612.585,0.469
1612.595,0.398
1612.605,0.36
1612.615,0.34
1612.625,0.457
1612.635,0.492
1612.645,0.416
1612.655,0.349
1612.665,0.275
1612.675,0.279
1612.685,0.326
1612.695,0.334
1612.735,0.509
1612.745,0.464
1612.755,0.347
1612.765,0.186
1612.775,0.126
1612.785,0.172
1612.795,0.164
1612.805,0.253
1612.815,0.404
1612.825,0.575
1612.835,0.815
1612.845,0.764
1612.855,0.481
1612.865,0.166
1612.875,0.116
1612.885,0.142
1612.895,0.125
1612.905,0.168
1612.915,0.188
1612.925,0.25
1612.935,0.259
1612.945,0.276
1612.955,0.171
1612.965,0.129
1612.975,0.094
1612.985,0.102
1612.995,0.102
1613.005,0.1
1613.015,0.131
1613.025,0.142
1613.035,0.15
1613.045,0.192
1613.055,0.218
1613.065,0.265
1613.075,0.227
1613.085,0.109
1613.095,0.096
1613.105,0.104
1613.115,0.129
1613.125,0.151
1613.135,0.207
1613.145,0.219
1613.155,0.28
1613.165,0.375
1613.175,0.378
1613.185,0.372
1613.195,0.332
1613.205,0.336
1613.215,0.257
1613.225,0.227
1613.235,0.203
1613.245,0.159
1613.255,0.136
1613.265,0.161
1613.275,0.165
1613.285,0.239
1613.295,0.292
1613.305,0.355
1613.315,0.428
1613.325,0.47
1613.335,0.483
1613.345,0.363
1613.355,0.279
1613.365,0.157
1613.375,0.142
1613.385,0.137
1613.395,0.179
1613.405,0.274
1613.415,0.269
1613.425,0.28
1613.435,0.268
1613.445,0.277
1613.455,0.293
1613.465,0.229
1613.475,0.196
1613.485,0.136
1613.495,0.12
1613.505,0.11
1613.515,0.12
1613.525,0.166
1613.535,0.24
1613.545,0.262
1613.555,0.315
1613.565,0.312
1613.575,0.223
1613.585,0.125
1613.595,0.123
1613.605,0.142
1613.615,0.159
1613.625,0.18
1613.635,0.178
1613.645,0.179
1613.655,0.191
1613.665,0.216
1613.675,0.163
1613.685,0.126
1613.695,0.105
1613.705,0.083
1613.715,0.112
1613.725,0.126
1613.735,0.192
1613.745,0.219
1613.755,0.284
1613.765,0.338
1613.775,0.383
1613.785,0.364
1613.795,0.318
1613.805,0.234
1613.815,0.105
1613.825,0.071
1613.875,0.122
1613.885,0.194
1613.895,0.272
1613.905,0.345
1613.915,0.447
1613.925,0.333
1613.935,0.185
1613.945,0.085
1613.955,0.071
1613.965,0.069
1613.975,0.074
1613.985,0.073
1613.995,0.137
1614.005,0.136
1614.015,0.149
1614.025,0.201
1614.035,0.217
1614.045,0.24
1614.055,0.154
1614.065,0.104
1614.075,0.055
1614.085,0.097
1614.095,0.12
1614.105,0.139
1614.115,0.124
1614.125,0.113
1614.135,0.079
1614.145,0.068
1614.155,0.052
1614.165,0.06
1614.175,0.07
1614.185,0.101
1614.195,0.1
1614.205,0.129
1614.215,0.156
1614.225,0.199
1614.235,0.237
1614.245,0.213
1614.255,0.202
1614.265,0.115
1614.275,0.109
1614.285,0.103
1614.295,0.085
1614.305,0.095
1614.315,0.102
1614.325,0.122
1614.335,0.128
1614.345,0.134
1614.355,0.128
1614.365,0.168
1614.375,0.149
1614.385,0.147
1614.395,0.104
1614.405,0.131
1614.415,0.179
1614.425,0.185
1614.435,0.215
1614.445,0.243
1614.455,0.238
1614.465,0.184
1614.475,0.174
1614.485,0.148
1614.495,0.168
1614.505,0.211
1614.515,0.243
1614.525,0.341
1614.535,0.437
1614.545,0.472
1614.555,0.508
1614.565,0.404
1614.575,0.214
1614.585,0.178
1614.595,0.193
1614.605,0.233
1614.615,0.328
1614.625,0.507
1614.635,0.683
1614.645,0.807
1614.655,1.167
1614.665,1.139
1614.675,0.876
1614.685,0.496
1614.695,0.318
1614.705,0.221
1614.715,0.182
1614.725,0.188
1614.735,0.203
1614.745,0.303
1614.755,0.309
1614.765,0.315
1614.775,0.3
1614.785,0.222
1614.795,0.199
1614.805,0.149
1614.815,0.152
1614.825,0.164
1614.835,0.287
1614.845,0.273
1614.855,0.418
1614.865,0.521
1614.875,0.597
1614.885,0.536
1614.895,0.431
1614.905,0.233
1614.915,0.186
1614.925,0.153
1614.935,0.164
1614.945,0.234
1614.955,0.302
1614.965,0.386
1614.975,0.381
1614.985,0.314
1614.995,0.211
1615.005,0.106
1615.015,0.087
1615.025,0.064
1615.035,0.072
1615.045,0.088
1615.055,0.105
1615.065,0.157
1615.075,0.194
1615.085,0.21
1615.095,0.278
1615.105,0.362
1615.115,0.084
1615.125,0.065
1615.135,0.065
1615.145,0.091
1615.155,0.12
1615.165,0.111
1615.175,0.133
1615.185,0.182
1615.195,0.199
1615.205,0.255
1615.215,0.275
1615.225,0.305
1615.235,0.258
1615.245,0.187
1615.255,0.194
1615.265,0.157
1615.275,0.208
1615.285,0.248
1615.295,0.321
1615.305,0.367
1615.315,0.542
1615.325,0.767
1615.335,1.141
1615.345,1.433
1615.355,0.88
1615.365,0.158
1615.375,0.055
1615.385,0.064
1615.395,0.07
1615.405,0.082
1615.415,0.116
1615.425,0.174
1615.435,0.239
1615.445,0.288
1615.455,0.369
1615.465,0.397
1615.475,0.316
1615.485,0.242
1615.495,0.201
1615.505,0.159
1615.515,0.132
1615.525,0.12
1615.535,0.162
1615.545,0.134
1615.555,0.191
1615.565,0.202
1615.575,0.229
1615.585,0.345
1615.595,0.345
1615.605,0.46
1615.615,0.502
1615.625,0.566
1615.635,0.607
1615.645,0.596
1615.655,0.568
1615.665,0.492
1615.675,0.393
1615.685,0.257
1615.695,0.309
1615.705,0.39
1615.715,0.608
1615.725,0.852
1615.735,1.043
1615.745,1.519
1615.755,1.333
1615.765,0.641
1615.775,0.207
1615.785,0.079
1615.795,0.071
1615.805,0.065
1615.815,0.075
1615.825,0.081
1615.835,0.106
1615.845,0.162
1615.855,0.198
1615.865,0.246
1615.875,0.274
1615.885,0.31
1615.895,0.295
1615.905,0.179
1615.915,0.142
1615.925,0.112
1615.935,0.183
1615.945,0.219
1615.955,0.219
1615.965,0.289
1615.975,0.365
1615.985,0.43
1615.995,0.441
1616.005,0.341
1616.015,0.224
1616.025,0.205
1616.035,0.233
1616.045,0.312
1616.055,0.411
1616.065,0.57
1616.075,0.716
1616.085,0.81
1616.095,0.67
1616.105,0.48
1616.115,0.334
1616.125,0.248
1616.135,0.192
1616.145,0.102
1616.155,0.065
1616.165,0.109
1616.175,0.174
1616.185,0.159
1616.195,0.205
1616.205,0.243
1616.215,0.328
1616.225,0.45
1616.235,0.516
1616.245,0.369
1616.255,0.199
1616.265,0.071
1616.275,0.069
1616.285,0.084
1616.295,0.091
1616.305,0.099
1616.315,0.149
1616.325,0.143
1616.335,0.187
1616.345,0.212
1616.355,0.199
1616.365,0.249
1616.375,0.21
1616.385,0.191
1616.395,0.195
1616.405,0.12
1616.415,0.123
1616.425,0.13
1616.435,0.167
1616.445,0.258
1616.455,0.374
1616.465,0.459
1616.475,0.75
1616.485,0.707
1616.495,0.805
1616.505,0.9
1616.515,0.735
1616.525,0.476
1616.535,0.181
1616.545,0.134
1616.555,0.094
1616.565,0.107
1616.575,0.108
1616.585,0.098
1616.595,0.116
1616.605,0.155
1616.615,0.176
1616.625,0.199
1616.635,0.218
1616.645,0.219
1616.655,0.175
1616.665,0.167
1616.675,0.1
1616.685,0.076
1616.695,0.09
1616.705,0.145
1616.715,0.149
1616.725,0.141
1616.735,0.151
1616.745,0.166
1616.755,0.16
1616.765,0.115
1616.775,0.09
1616.785,0.11
1616.795,0.112
1616.805,0.132
1616.815,0.168
1616.825,0.204
1616.835,0.311
1616.845,0.35
1616.855,0.367
1616.865,0.449
1616.875,0.493
1616.885,0.465
1616.895,0.387
1616.905,0.179
1616.915,0.125
1616.925,0.12
1616.935,0.111
1616.945,0.155
1616.955,0.194
1616.965,0.246
1616.975,0.305
1616.985,0.286
1616.995,0.251
1617.005,0.225
1617.015,0.165
1617.025,0.145
1617.035,0.119
1617.045,0.112
1617.055,0.148
1617.065,0.141
1617.075,0.124
1617.085,0.119
1617.095,0.169
1617.105,0.182
1617.115,0.141
1617.125,0.119
1617.135,0.093
1617.145,0.103
1617.155,0.082
1617.165,0.104
1617.175,0.146
1617.185,0.151
1617.195,0.235
1617.205,0.284
1617.215,0.288
1617.225,0.274
1617.235,0.203
1617.245,0.148
1617.255,0.084
1617.265,0.075
1617.275,0.077
1617.285,0.086
1617.295,0.083
1617.305,0.12
1617.315,0.132
1617.325,0.178
1617.335,0.161
1617.345,0.16
1617.355,0.198
1617.365,0.207
1617.375,0.268
1617.385,0.279
1617.395,0.406
1617.405,0.414
1617.415,0.446
1617.425,0.448
1617.435,0.317
1617.445,0.153
1617.455,0.108
1617.465,0.133
1617.475,0.155
1617.485,0.175
1617.495,0.221
1617.505,0.24
1617.515,0.253
1617.525,0.222
1617.535,0.157
1617.545,0.124
1617.555,0.155
1617.565,0.144
1617.575,0.153
1617.585,0.207
1617.595,0.29
1617.605,0.318
1617.615,0.355
1617.625,0.384
1617.635,0.371
1617.645,0.336
1617.655,0.247
1617.665,0.158
1617.675,0.129
1617.685,0.096
1617.695,0.091
1617.705,0.083
1617.715,0.084
1617.725,0.098
1617.735,0.1
1617.745,0.132
1617.755,0.156
1617.765,0.152
1617.775,0.157
1617.785,0.118
1617.795,0.086
1617.805,0.093
1617.815,0.141
1617.825,0.124
1617.835,0.127
1617.845,0.193
1617.855,0.208
1617.865,0.304
1617.875,0.361
1617.885,0.444
1617.895,0.538
1617.905,0.559
1617.915,0.515
1617.925,0.371
1617.935,0.147
1617.945,0.11
1617.955,0.068
1617.965,0.089
1617.975,0.077
1617.985,0.105
1617.995,0.093
1618.005,0.082
1618.015,0.092
1618.025,0.092
1618.035,0.087
1618.045,0.102
1618.055,0.088
1618.065,0.075
1618.075,0.092
1618.085,0.064
1618.095,0.075
1618.105,0.073
1618.115,0.122
1618.125,0.143
1618.135,0.142
1618.145,0.133
1618.155,0.11
1618.165,0.08
1618.175,0.09
1618.185,0.085
1618.195,0.115
1618.205,0.137
1618.215,0.204
1618.225,0.244
1618.235,0.325
1618.245,0.395
1618.255,0.403
1618.265,0.232
1618.275,0.119
1618.285,0.078
1618.295,0.097
1618.305,0.128
1618.315,0.15
1618.325,0.168
1618.335,0.268
1618.345,0.317
1618.355,0.362
1618.365,0.422
1618.375,0.432
1618.385,0.446
1618.395,0.421
1618.405,0.376
1618.415,0.338
1618.425,0.243
1618.435,0.206
1618.445,0.212
1618.455,0.223
1618.465,0.213
1618.475,0.251
1618.485,0.34
1618.495,0.358
1618.505,0.458
1618.515,0.458
1618.525,0.434
1618.535,0.378
1618.545,0.288
1618.555,0.202
1618.565,0.167
1618.575,0.17
1618.585,0.161
1618.595,0.153
1618.605,0.16
1618.615,0.195
1618.625,0.25
1618.635,0.339
1618.645,0.348
1618.655,0.373
1618.665,0.347
1618.675,0.259
1618.685,0.225
1618.695,0.196
1618.705,0.223
1618.715,0.236
1618.725,0.313
1618.735,0.407
1618.745,0.547
1618.755,0.724
1618.765,0.824
1618.775,0.969
1618.785,1.186
1618.795,0.995
1618.805,0.51
1618.815,0.171
1618.825,0.184
1618.835,0.221
1618.845,0.273
1618.855,0.431
1618.865,0.427
1618.875,0.528
1618.885,0.506
1618.895,0.467
1618.905,0.419
1618.915,0.356
1618.925,0.267
1618.935,0.166
1618.945,0.074
1618.955,0.06
1618.965,0.057
1618.975,0.069
1618.985,0.089
1618.995,0.127
1619.005,0.14
1619.015,0.167
1619.025,0.203
1619.035,0.251
1619.045,0.242
1619.055,0.298
1619.065,0.287
1619.075,0.327
1619.085,0.351
1619.095,0.308
1619.105,0.191
1619.115,0.106
1619.125,0.071
1619.135,0.116
1619.145,0.131
1619.155,0.152
1619.165,0.145
1619.175,0.185
1619.185,0.2
1619.195,0.177
1619.205,0.176
1619.215,0.168
1619.225,0.162
1619.235,0.112
1619.245,0.082
1619.255,0.079
1619.265,0.088
1619.275,0.104
1619.285,0.099
1619.295,0.156
1619.305,0.145
1619.315,0.159
1619.325,0.166
1619.335,0.173
1619.345,0.21
1619.355,0.18
1619.365,0.124
1619.375,0.127
1619.385,0.124
1619.395,0.109
1619.405,0.16
1619.415,0.169
1619.425,0.214
1619.435,0.25
1619.445,0.265
1619.455,0.271
1619.465,0.248
1619.475,0.204
1619.485,0.257
1619.495,0.196
1619.505,0.161
1619.515,0.141
1619.525,0.099
1619.535,0.154
1619.545,0.193
1619.555,0.272
1619.565,0.324
1619.575,0.444
1619.585,0.584
1619.595,0.581
1619.605,0.563
1619.615,0.512
1619.625,0.352
1619.635,0.187
1619.645,0.097
1619.655,0.088
1619.665,0.065
1619.675,0.049
1619.685,0.058
