Depth_m,BC
58.719,-0.579
58.732,-0.532
58.745,-0.094
58.758,0.11
58.77,0.104
58.783,0.15
58.796,0.187
58.809,0.021
58.821,0.289
58.834,0.88
58.847,1.104
58.859,1.846
58.872,1.59
58.885,0.921
58.898,0.522
58.91,0.109
58.923,0.108
58.936,-0.329
58.949,-0.361
58.961,-0.535
58.974,-0.702
58.987,-0.748
58.999,-0.741
59.012,-0.727
59.025,-0.728
59.038,-0.677
59.05,-0.775
59.063,-0.634
59.076,-0.59
59.088,-0.561
59.101,-0.578
59.114,-0.511
59.126,-0.512
59.139,-0.424
59.152,-0.119
59.165,0.011
59.177,0.238
59.19,0.532
59.203,0.505
59.215,0.406
59.228,0.359
59.241,0.156
59.254,0.118
59.266,-0.189
59.279,-0.73
59.292,-0.783
59.304,-0.799
59.317,-0.726
59.33,-0.517
59.342,-0.346
59.355,-0.34
59.368,0.155
59.381,0.544
59.393,0.258
59.406,0.563
59.419,0.314
59.431,0.5
59.444,-0.198
59.457,-0.467
59.469,-0.344
59.482,-0.349
59.495,-0.694
59.507,-0.746
59.52,-0.633
59.533,-0.738
59.546,-0.677
59.558,-0.332
59.571,-0.436
59.584,-0.353
59.596,-0.33
59.609,-0.194
59.622,-0.089
59.634,-0.097
59.647,-0.014
59.66,0.008
59.672,0.188
59.685,0.662
59.698,0.716
59.71,1.077
59.723,0.726
59.736,0.247
59.748,-0.081
59.761,-0.477
59.774,-0.627
59.786,-0.688
59.799,-0.725
59.812,-0.651
59.824,-0.615
59.837,-0.45
59.85,-0.384
59.862,-0.34
59.875,-0.213
59.888,-0.183
59.9,0.043
59.913,0.32
59.926,0.921
59.938,0.861
59.951,0.997
59.964,1.56
59.976,2.844
59.989,3.527
60.002,3.692
60.014,1.682
60.027,-0.112
60.04,-0.51
60.052,-0.525
60.065,-0.346
60.077,-0.153
60.09,0.378
60.103,1.171
60.115,1.266
60.128,1.009
60.141,0.264
60.153,-0.083
60.166,0.037
60.179,0.307
60.191,0.427
60.204,0.12
60.217,-0.127
60.229,-0.299
60.242,-0.373
60.254,-0.362
60.267,-0.396
60.28,-0.526
60.292,-0.404
60.305,-0.246
60.318,-0.185
60.33,-0.244
60.343,-0.168
60.356,-0.062
60.368,-0.083
60.381,0.06
60.393,0.511
60.406,1.156
60.419,0.841
60.431,0.721
60.444,0.984
60.457,0.947
60.469,1.809
60.482,1.854
60.494,1.434
60.507,1.029
60.52,0.565
60.532,0.213
60.545,-0.417
60.558,-0.702
60.57,-0.753
60.583,-0.789
60.595,-0.758
60.608,-0.695
60.621,-0.523
60.633,-0.141
60.646,-0.052
60.659,-0.172
60.671,0.338
60.684,0.684
60.696,1.742
60.709,1.315
60.722,1.3
60.734,1.451
60.747,1.699
60.759,0.543
60.772,0.131
60.785,-0.252
60.797,-0.366
60.81,-0.36
60.823,-0.39
60.835,-0.346
60.848,-0.31
60.86,-0.326
60.873,0.1
60.885,0.383
60.898,1.531
60.911,2.236
60.923,1.147
60.936,0.547
60.948,0.277
60.961,0.247
60.974,0.03
60.986,-0.412
60.999,-0.56
61.011,-0.663
61.024,-0.669
61.037,-0.667
61.049,-0.575
61.062,-0.447
61.074,-0.341
61.087,-0.152
61.1,-0.009
61.112,0.066
61.125,-0.017
61.137,0.208
61.15,0.283
61.162,0.65
61.175,0.567
61.188,-0.08
61.2,-0.208
61.213,-0.253
61.225,-0.283
61.238,-0.501
61.251,-0.555
61.263,-0.653
61.276,-0.594
61.288,-0.534
61.301,-0.37
61.313,-0.167
61.326,0.142
61.339,0.203
61.351,0.174
61.364,0.07
61.376,-0.163
61.389,-0.553
61.401,-0.75
61.414,-0.826
61.427,0.876
61.439,0.928
61.452,1.144
61.464,0.296
61.477,-0.379
61.489,-0.297
61.502,-0.207
61.514,-0.296
61.527,-0.416
61.54,-0.429
61.552,-0.254
61.565,-0.141
61.577,0.025
61.59,-0.072
61.615,-0.028
61.628,0.052
61.64,0.177
61.653,0.122
61.665,-0.472
61.678,-0.585
61.69,-0.66
61.703,-0.607
61.715,-0.441
61.728,-0.23
61.741,-0.297
61.753,-0.34
61.766,-0.346
61.778,-0.352
61.791,-0.396
61.803,-0.327
61.816,-0.28
61.828,-0.264
61.841,-0.114
61.853,-0.346
61.866,-0.632
61.878,-0.746
61.891,-0.718
61.904,-0.675
61.916,-0.707
61.929,-0.693
61.941,-0.655
61.954,-0.595
61.966,-0.407
61.979,-0.175
61.991,0.028
62.004,0.343
62.016,0.353
62.029,0.393
62.041,0.277
62.054,0.574
62.066,0.539
62.079,0.332
62.092,0.4
62.104,0.364
62.117,0.1
62.129,0.069
62.142,0.127
62.154,0.005
62.167,-0.289
62.179,-0.335
62.192,-0.261
62.204,-0.075
62.217,-0.136
62.229,-0.122
62.242,0.155
62.254,0.319
62.267,0.394
62.279,0.289
62.292,0.259
62.304,0.605
62.317,0.846
62.329,2.01
62.342,2.581
62.354,2.771
62.367,1.633
62.379,0.27
62.392,0.159
62.405,-0.529
62.417,-0.641
62.43,-0.636
62.442,-0.473
62.455,-0.371
62.467,-0.128
62.48,0.092
62.492,0.08
62.505,0.204
62.517,0.261
62.53,0.34
62.542,0.607
62.555,1.169
62.567,1.252
62.58,1.24
62.592,1.144
62.605,0.869
62.617,0.509
62.63,-0.377
62.642,-0.767
62.655,-0.76
62.667,-0.814
62.68,-0.808
62.692,-0.786
62.705,-0.773
62.717,-0.781
62.73,-0.78
62.742,-0.781
62.754,-0.773
62.767,-0.644
62.779,-0.223
62.792,-0.147
62.804,-0.033
62.817,0.403
62.829,0.554
62.842,0.496
62.854,0.289
62.867,-0.159
62.879,-0.305
62.892,-0.506
62.904,-0.714
62.917,-0.684
62.929,-0.34
62.942,-0.32
62.954,-0.187
62.967,-0.196
62.979,-0.16
62.992,-0.155
63.004,0.001
63.017,0.226
63.029,0.316
63.041,0.572
63.054,0.843
63.066,0.327
63.079,0.193
63.091,0.174
63.104,0.049
63.116,-0.143
63.129,-0.086
63.141,-0.17
63.154,-0.064
63.166,-0.349
63.179,-0.181
63.191,-0.203
63.204,-0.287
63.216,-0.047
63.229,0.334
63.241,0.288
63.253,0.46
63.266,0.4
63.278,0.446
63.291,0.65
63.303,0.508
63.316,-0.371
63.328,-0.523
63.341,-0.546
63.353,-0.484
63.366,-0.558
63.378,-0.445
63.39,-0.37
63.403,-0.497
63.415,-0.378
63.428,-0.205
63.44,-0.101
63.453,-0.424
63.465,-0.311
63.478,-0.341
63.49,-0.311
63.502,-0.147
63.515,-0.194
63.527,-0.136
63.54,-0.264
63.552,-0.473
63.565,-0.771
63.577,-0.761
63.59,-0.675
63.602,-0.552
63.615,-0.556
63.627,-0.476
63.639,-0.268
63.652,0.022
63.664,0.085
63.677,0.282
63.689,0.486
63.702,0.754
63.714,0.849
63.726,1.034
63.739,1.008
63.751,0.629
63.764,0.723
63.776,0.6
63.789,0.509
63.801,-0.392
63.813,-0.558
63.826,-0.699
63.838,-0.652
63.851,-0.648
63.863,-0.659
63.876,-0.633
63.888,-0.284
63.9,0.426
63.913,0.241
63.925,0.685
63.938,1.076
63.95,1.227
63.963,0.844
63.975,0.58
63.987,0.97
64.0,0.999
64.012,0.967
64.025,0.914
64.037,0.193
64.049,0.016
64.062,0.027
64.074,-0.355
64.087,-0.581
64.099,-0.619
64.111,-0.694
64.124,-0.657
64.136,-0.681
64.149,-0.668
64.161,-0.648
64.174,-0.508
64.186,-0.218
64.198,-0.189
64.211,-0.258
64.223,-0.176
64.236,0.183
64.248,0.399
64.26,0.722
64.273,0.286
64.285,-0.104
64.298,0.181
64.31,0.152
64.322,-0.05
64.335,-0.455
64.347,-0.493
64.36,-0.426
64.372,-0.337
64.384,-0.054
64.397,-0.108
64.409,0.019
64.422,-0.004
64.434,-0.169
64.446,-0.229
64.459,-0.22
64.471,-0.189
64.484,-0.068
64.496,-0.082
64.508,0.061
64.521,0.067
64.533,0.027
64.546,-0.177
64.558,-0.275
64.57,-0.273
64.583,-0.399
64.595,-0.517
64.607,-0.51
64.62,-0.587
64.632,-0.588
64.645,-0.483
64.657,-0.408
64.669,-0.46
64.682,-0.407
64.694,-0.031
64.707,0.046
64.719,0.302
64.731,0.536
64.744,0.702
64.756,0.643
64.768,0.389
64.781,0.15
64.793,-0.278
64.806,-0.631
64.818,-0.677
64.83,-0.633
64.843,-0.438
64.855,-0.303
64.867,-0.296
64.88,-0.171
64.892,0.015
64.905,0.239
64.917,-0.084
64.929,0.059
64.942,-0.203
64.954,-0.202
64.966,-0.208
64.979,-0.14
64.991,-0.073
65.003,0.444
65.016,0.375
65.028,0.374
65.041,0.274
65.053,0.197
65.065,0.099
65.078,0.09
65.09,0.171
65.102,0.006
65.115,0.096
65.127,-0.286
65.139,-0.375
65.152,-0.194
65.164,-0.402
65.176,-0.49
65.189,-0.586
65.201,-0.539
65.214,-0.29
65.226,0.229
65.238,0.252
65.251,0.494
65.263,0.307
65.275,0.053
65.288,-0.201
65.3,-0.013
65.312,-0.162
65.325,-0.183
65.337,-0.189
65.349,-0.18
65.362,-0.216
65.374,-0.297
65.386,-0.595
65.399,-0.698
65.411,-0.681
65.423,-0.701
65.436,-0.669
65.448,-0.626
65.46,-0.628
65.473,-0.63
65.485,-0.559
65.497,-0.417
65.51,-0.244
65.522,0.099
65.534,1.095
65.547,0.943
65.559,1.22
65.571,1.572
65.584,1.671
65.596,1.688
65.608,1.351
65.621,1.5
65.633,1.447
65.645,1.566
65.658,1.154
65.67,-0.068
65.682,-0.441
65.695,-0.425
65.707,-0.551
65.719,-0.43
65.732,0.095
65.744,-0.118
65.756,0.118
65.769,0.167
65.781,0.014
65.793,-0.019
65.806,-0.103
65.818,-0.261
65.83,-0.337
65.843,-0.256
65.855,-0.505
65.867,-0.543
65.88,-0.544
65.892,-0.582
65.904,-0.643
65.917,-0.628
65.929,-0.568
65.941,-0.537
65.954,-0.506
65.966,-0.558
65.978,-0.476
65.99,-0.426
66.003,-0.255
66.015,0.014
66.027,0.073
66.04,0.357
66.052,0.402
66.064,0.236
66.077,0.341
66.089,0.641
66.101,0.492
66.114,-0.197
66.126,-0.376
66.138,-0.434
66.15,-0.567
66.163,-0.565
66.175,-0.549
66.187,-0.563
66.2,-0.495
66.212,-0.276
66.224,-0.366
66.237,-0.32
66.249,-0.343
66.261,-0.125
66.273,0.062
66.286,-0.059
66.298,0.076
66.31,0.046
66.323,0.114
66.335,0.451
66.347,0.836
66.359,1.227
66.372,0.893
66.384,0.27
66.396,0.152
66.409,0.746
66.421,1.039
66.433,0.604
66.446,-0.004
66.458,-0.439
66.47,-0.394
66.482,-0.237
66.495,-0.222
66.507,-0.163
66.519,-0.156
66.532,-0.201
66.544,-0.156
66.556,-0.277
66.568,-0.27
66.581,-0.046
66.593,0.711
66.605,0.892
66.618,0.704
66.63,0.69
66.642,0.165
66.654,-0.098
66.667,-0.399
66.679,-0.646
66.691,-0.692
66.703,-0.714
66.716,-0.722
66.728,-0.714
66.74,-0.707
66.753,-0.654
66.765,-0.512
66.777,-0.046
66.789,0.652
66.802,0.615
66.814,0.652
66.826,0.818
66.838,1.434
66.851,1.068
66.863,0.957
66.875,0.673
66.888,0.383
66.9,0.203
66.912,-0.269
66.924,-0.42
66.937,-0.339
66.949,-0.264
66.961,-0.551
66.973,-0.636
66.986,-0.555
66.998,-0.517
67.01,-0.563
67.022,-0.646
67.035,-0.557
67.047,-0.073
67.059,-0.001
67.071,0.0
67.084,0.36
67.096,0.415
67.108,0.425
67.12,0.69
67.133,0.376
67.145,0.625
67.157,0.889
67.169,0.815
67.182,0.598
67.194,0.178
67.206,0.493
67.218,0.418
67.231,0.65
67.243,0.522
67.255,0.686
67.267,0.43
67.28,-0.11
67.292,0.325
67.304,0.25
67.316,0.52
67.329,0.521
67.341,0.042
67.353,0.172
67.365,0.369
67.378,0.475
67.39,0.154
67.402,0.081
67.414,-0.046
67.427,0.188
67.439,0.195
67.451,0.339
67.463,0.347
67.476,0.138
67.488,-0.303
67.5,-0.325
67.512,-0.414
67.524,-0.391
67.537,-0.444
67.549,-0.393
67.561,-0.356
67.573,-0.162
67.586,0.061
67.598,0.456
67.61,0.716
67.622,0.031
67.635,-0.363
67.647,-0.101
67.659,-0.131
67.671,0.267
67.683,0.372
67.696,0.578
67.708,0.277
67.72,-0.121
67.732,-0.354
67.745,-0.558
67.757,-0.739
67.769,-0.741
67.781,-0.758
67.794,-0.676
67.806,-0.705
67.818,-0.569
67.83,-0.522
67.842,-0.438
67.855,-0.415
67.867,-0.091
67.879,-0.248
67.891,-0.27
67.903,-0.233
67.916,-0.398
67.928,-0.24
67.94,0.404
67.952,0.509
67.965,0.419
67.977,0.224
67.989,-0.204
68.001,-0.467
68.013,-0.572
68.026,-0.738
68.038,-0.641
68.05,-0.645
68.062,-0.463
68.074,-0.242
68.087,-0.277
68.099,-0.207
68.111,0.366
68.123,0.267
68.135,-0.048
68.148,0.018
68.16,0.063
68.172,0.16
68.184,-0.177
68.196,-0.064
68.209,0.004
68.221,-0.236
68.233,-0.543
68.245,-0.498
68.258,-0.589
68.27,-0.358
68.282,-0.33
68.294,-0.52
68.306,-0.529
68.318,-0.538
68.331,-0.532
68.343,-0.534
68.355,-0.602
68.367,-0.782
68.379,-0.819
68.392,-0.878
68.404,-0.87
68.416,-0.817
68.428,-0.712
68.44,-0.742
68.453,-0.727
68.465,-0.699
68.477,-0.649
68.489,-0.636
68.501,-0.421
68.514,-0.446
68.526,-0.358
68.538,-0.158
68.55,-0.093
68.562,0.22
68.575,0.105
68.587,0.313
68.599,0.357
68.611,0.187
68.623,-0.208
68.635,-0.452
68.648,-0.74
68.66,-0.743
68.672,-0.281
68.684,0.36
68.696,0.491
68.708,0.727
68.721,0.761
68.733,0.56
68.745,0.259
68.757,0.504
68.769,0.494
68.782,0.447
68.794,0.519
68.806,0.877
68.818,1.273
68.83,0.905
68.842,0.935
68.855,0.478
68.867,-0.175
68.879,-0.22
68.891,-0.259
68.903,-0.199
68.915,-0.207
68.928,-0.275
68.94,-0.172
68.952,-0.069
68.964,0.093
68.976,0.067
68.988,0.031
69.001,0.06
69.013,0.11
69.025,0.029
69.037,0.133
69.049,0.361
69.061,0.125
69.074,-0.089
69.086,-0.339
69.098,-0.141
69.11,-0.172
69.122,-0.151
69.134,-0.324
69.146,-0.369
69.159,-0.6
69.171,-0.501
69.183,-0.719
69.195,-0.72
69.207,-0.593
69.219,-0.519
69.232,-0.258
69.244,-0.358
69.256,-0.399
69.268,-0.642
69.28,-0.585
69.292,-0.476
69.305,-0.337
69.317,-0.326
69.329,-0.217
69.341,-0.167
69.353,-0.388
69.365,-0.444
69.377,-0.318
69.39,0.365
69.402,2.542
69.414,3.227
69.426,2.36
69.438,0.308
69.45,-0.554
69.462,-0.568
69.475,-0.686
69.487,-0.737
69.499,-0.751
69.511,-0.736
69.523,-0.505
69.535,-0.566
69.547,-0.589
69.56,-0.215
69.572,-0.253
69.584,-0.313
69.596,-0.306
69.608,-0.232
69.62,-0.202
69.632,-0.051
69.644,-0.56
69.657,-0.468
69.669,-0.525
69.681,-0.561
69.693,-0.536
69.705,-0.581
69.717,-0.664
69.729,-0.795
69.742,-0.767
69.754,-0.784
69.766,-0.771
69.778,-0.63
69.79,-0.594
69.802,-0.31
69.814,-0.161
69.826,-0.124
69.839,-0.096
69.851,0.496
69.863,0.593
69.875,0.516
69.887,0.217
69.899,-0.268
69.911,-0.258
69.923,-0.556
69.936,-0.801
69.948,-0.785
69.96,-0.821
69.972,-0.625
69.984,-0.309
69.996,-0.391
70.008,-0.038
70.02,0.232
70.032,0.255
70.045,0.097
70.057,0.322
70.069,0.712
70.081,1.093
70.093,2.84
70.105,6.118
70.117,7.206
70.129,4.512
70.141,-0.506
70.154,-0.348
70.166,-0.716
70.178,-0.857
70.19,-0.93
70.202,-0.943
70.214,-0.963
70.226,-0.967
70.238,-0.957
70.251,-0.874
70.263,-0.804
70.275,-0.728
70.287,-0.554
70.299,-0.284
70.311,-0.411
70.323,-0.398
70.335,-0.431
70.347,-0.412
70.359,-0.565
70.372,-0.567
70.384,-0.517
70.396,-0.715
70.408,-0.79
70.42,-0.788
70.432,-0.839
70.444,-0.942
70.456,-0.994
70.468,-0.963
70.48,-0.939
70.492,-0.96
70.505,-0.929
70.517,-0.883
70.529,-0.913
70.541,-0.876
70.553,-0.69
70.565,-0.265
70.577,-0.259
70.589,-0.056
70.601,-0.026
70.613,0.379
70.626,0.89
70.638,0.929
70.65,1.178
70.662,0.76
70.674,1.939
70.686,3.17
70.698,3.178
70.71,2.945
70.722,3.185
70.734,1.218
70.746,-0.163
70.759,-0.427
70.771,-0.496
70.783,-0.272
70.795,-0.004
70.807,0.429
70.819,0.555
70.831,-0.032
70.843,-0.303
70.855,-0.176
70.867,-0.319
70.879,-0.327
70.891,-0.515
70.903,-0.688
70.916,-0.846
70.928,-0.877
70.94,-0.863
70.952,-0.811
70.964,-0.676
70.976,-0.474
70.988,-0.36
71.0,-0.186
71.012,-0.192
71.024,-0.153
71.036,-0.16
71.048,-0.077
71.06,-0.078
71.073,0.275
71.085,1.249
71.097,2.351
71.109,2.065
71.121,2.538
71.133,2.68
71.145,2.5
71.157,0.746
71.169,0.05
71.181,0.267
71.193,0.275
71.205,-0.062
71.217,-0.437
71.229,-0.647
71.242,-0.639
71.254,-0.511
71.266,-0.571
71.278,-0.519
71.29,-0.361
71.302,-0.173
71.314,0.383
71.326,0.617
71.338,0.52
71.35,0.805
71.362,0.925
71.374,1.224
71.386,0.308
71.398,-0.533
71.41,-0.678
71.422,-0.816
71.434,-0.767
71.447,-0.695
71.459,-0.617
71.471,-0.387
71.483,-0.238
71.495,-0.029
71.507,0.181
71.519,0.188
71.531,0.12
71.543,0.338
71.555,0.248
71.567,0.398
71.579,0.286
71.591,0.257
71.603,0.266
71.615,0.499
71.627,0.32
71.639,-0.279
71.651,-0.841
71.663,-0.969
71.675,-0.917
71.687,-0.829
71.699,-0.778
71.712,-0.793
71.724,-0.551
71.736,-0.632
71.748,-0.269
71.76,-0.184
71.772,0.193
71.784,0.524
71.796,0.503
71.808,0.4
71.82,0.529
71.832,0.762
71.844,0.358
71.856,0.233
71.868,-0.201
71.88,-0.297
71.892,-0.303
71.904,-0.079
71.916,0.026
71.928,-0.478
71.94,-0.554
71.952,-0.179
71.964,0.053
71.976,0.128
71.988,0.683
72.001,1.044
72.013,2.011
72.025,3.26
72.037,4.359
72.049,5.762
72.061,7.164
72.073,5.375
72.085,4.877
72.097,5.453
72.109,4.618
72.121,1.932
72.133,0.814
72.145,0.552
72.157,0.328
72.169,-0.038
72.181,-0.42
72.193,-0.337
72.205,-0.411
72.217,-0.314
72.229,-0.216
72.241,-0.23
72.253,-0.177
72.265,0.094
72.277,0.995
72.289,0.86
72.301,0.987
72.313,0.843
72.325,1.185
72.337,1.393
72.349,1.639
72.361,0.879
72.373,1.391
72.385,1.226
72.397,0.694
72.409,-0.253
72.421,-0.635
72.445,-0.885
72.457,-0.728
72.469,-0.7
72.481,-0.706
72.493,-0.579
72.505,-0.459
72.517,0.022
72.529,-0.189
72.541,-0.204
72.553,-0.166
72.565,-0.054
72.577,-0.166
72.589,-0.204
72.601,-0.355
72.613,-0.13
72.625,-0.289
72.637,-0.169
72.649,-0.5
72.661,-0.846
72.673,-0.77
72.685,-0.83
72.697,-0.755
72.709,-0.649
72.721,-0.642
72.733,-0.289
72.745,0.093
72.757,0.791
72.769,0.25
72.781,0.069
72.793,-0.202
72.805,-0.195
72.817,-0.324
72.829,-0.332
72.841,-0.633
72.853,-0.267
72.865,0.392
72.877,0.855
72.889,0.81
72.901,0.909
72.913,0.155
72.925,-0.331
72.937,-0.284
72.949,-0.523
72.961,-0.642
72.973,-0.702
72.985,-0.845
72.997,-0.987
73.009,-1.017
73.021,-0.994
73.033,-0.926
73.045,-0.851
73.057,-0.88
73.069,-0.82
73.081,-0.707
73.093,-0.723
73.105,-0.304
73.117,-0.259
73.129,-0.396
73.141,-0.21
73.153,0.001
73.165,0.049
73.177,-0.018
73.189,0.328
73.201,-0.302
73.213,-0.535
73.225,-0.716
73.237,-0.814
73.249,-0.822
73.261,-0.771
73.273,-0.705
73.285,-0.656
73.297,-0.6
73.309,-0.282
73.321,0.171
73.333,0.639
73.345,0.954
73.357,1.381
73.369,1.433
73.381,1.476
73.393,1.414
73.405,1.582
73.417,1.117
73.429,0.029
73.441,-0.931
73.453,-0.917
73.465,-0.859
73.477,-0.831
73.489,-0.856
73.501,-0.85
73.513,-0.717
73.525,-0.577
73.537,-0.264
73.549,-0.31
73.56,-0.251
73.572,0.049
73.584,0.356
73.596,0.222
73.608,-0.753
73.62,-0.722
73.632,-0.782
73.644,-0.894
73.656,-0.907
73.668,-0.83
73.68,-0.79
73.692,-0.818
73.704,-0.845
73.716,-0.487
73.728,-0.129
73.74,-0.011
73.752,0.624
73.764,0.829
73.776,0.763
73.788,0.411
73.8,0.066
73.812,0.172
73.824,0.136
73.836,-0.177
73.848,-0.25
73.86,-0.369
73.871,-0.542
73.883,-0.527
73.895,-0.647
73.907,-0.482
73.919,-0.197
73.931,-0.1
73.943,-0.025
73.955,0.087
73.967,-0.325
73.979,-0.535
73.991,-0.295
74.003,-0.392
74.015,-0.481
74.027,-0.509
74.039,-0.77
74.051,-0.731
74.063,-0.842
74.075,-0.728
74.087,-0.704
74.099,-0.469
74.111,-0.435
74.122,-0.339
74.134,-0.439
74.146,-0.481
74.158,-0.369
74.17,-0.377
74.182,-0.486
74.194,-0.185
74.206,-0.286
74.218,-0.273
74.23,-0.304
74.242,-0.357
74.254,-0.41
74.266,-0.365
74.278,-0.394
74.29,-0.686
74.302,-0.904
74.314,-0.987
74.325,-0.995
74.337,-1.033
74.349,-0.92
74.361,-0.649
74.373,-0.625
74.385,-0.496
74.397,-0.41
74.409,-0.333
74.421,0.342
74.433,0.613
74.445,0.755
74.457,0.665
74.469,1.033
74.481,0.462
74.493,-0.152
74.505,-0.497
74.516,-0.661
74.528,-0.742
74.54,-0.636
74.552,-0.763
74.564,-0.71
74.576,-0.529
74.588,-0.461
74.6,-0.64
74.612,-0.699
74.624,-0.465
74.636,-0.313
74.648,-0.303
74.66,-0.137
74.672,-0.197
74.683,-0.077
74.695,-0.115
74.707,-0.16
74.719,-0.161
74.731,-0.634
74.743,-0.769
74.755,-0.725
74.767,-0.553
74.779,-0.448
74.791,-0.538
74.803,-0.537
74.815,-0.603
74.827,-0.19
74.838,0.059
74.85,0.084
74.862,0.004
74.874,0.133
74.886,-0.061
74.898,-0.277
74.91,-0.059
74.922,-0.058
74.934,0.236
74.946,-0.056
74.958,-0.057
74.97,-0.267
74.981,-0.17
74.993,-0.307
75.005,-0.3
75.017,0.442
75.029,1.418
75.041,2.148
75.053,3.763
75.065,3.745
75.077,2.012
75.089,1.612
75.101,1.162
75.113,1.024
75.124,0.09
75.136,-0.228
75.148,-0.502
75.16,-0.635
75.172,-0.678
75.184,-0.736
75.196,-0.795
75.208,-0.817
75.22,-0.794
75.232,-0.808
75.243,-0.83
75.255,-0.732
75.267,-0.65
75.279,-0.551
75.291,-0.64
75.303,-0.354
75.315,0.412
75.327,0.989
75.339,1.095
75.351,0.466
75.363,0.911
75.374,2.781
75.386,3.571
75.398,2.733
75.41,0.95
75.422,0.32
75.434,0.042
75.446,-0.259
75.458,-0.207
75.47,-0.267
75.481,-0.336
75.493,-0.674
75.505,-0.63
75.517,-0.555
75.529,-0.504
75.541,-0.655
75.553,-0.506
75.565,-0.477
75.577,-0.172
75.588,0.081
75.6,0.102
75.612,0.122
75.624,0.209
75.636,0.193
75.648,0.086
75.66,-0.449
75.672,-0.34
75.684,-0.62
75.696,-0.567
75.707,-0.447
75.719,-0.574
75.731,-0.43
75.743,-0.473
75.755,-0.381
75.767,-0.261
75.779,-0.396
75.791,-0.157
75.803,-0.083
75.814,-0.166
75.826,0.216
75.838,0.74
75.85,0.656
75.862,0.776
75.874,0.499
75.886,-0.062
75.898,-0.893
75.909,-0.832
75.921,-0.847
75.933,-0.839
75.945,-0.883
75.957,-0.861
75.969,-0.695
75.981,-0.651
75.993,-0.629
76.005,-0.66
76.016,-0.444
76.028,-0.093
76.04,0.062
76.052,-0.082
76.064,0.233
76.076,0.929
76.088,0.913
76.099,1.159
76.111,0.184
76.123,-0.499
76.135,-0.777
76.147,-0.754
76.159,-0.731
76.171,-0.624
76.183,-0.63
76.194,-0.584
76.206,-0.539
76.218,-0.441
76.23,-0.427
76.242,-0.45
76.254,-0.091
76.266,0.966
76.278,1.408
76.289,1.423
76.301,1.663
76.313,2.376
76.325,3.412
76.337,3.503
76.349,3.512
76.361,4.295
76.372,4.277
76.384,1.985
76.396,-0.373
76.408,-0.625
76.42,-0.608
76.432,-0.219
76.444,0.126
76.456,0.059
76.467,0.313
76.479,0.125
76.491,-0.004
76.503,0.114
76.515,0.151
76.527,0.0
76.539,-0.537
76.55,-0.656
76.562,-0.605
76.574,-0.576
76.586,-0.238
76.598,-0.425
76.61,-0.143
76.622,0.014
76.633,-0.039
76.645,-0.061
76.657,-0.001
76.669,-0.008
76.681,0.172
76.693,0.533
76.704,0.661
76.716,0.302
76.728,0.564
76.74,-0.148
76.752,-0.634
76.764,-0.793
76.776,-0.697
76.787,-0.626
76.799,-0.668
76.811,-0.642
76.823,-0.435
76.835,-0.413
76.847,-0.194
76.859,-0.344
76.87,-0.163
76.882,-0.147
76.894,-0.274
76.906,-0.678
76.918,-0.774
76.93,-0.765
76.941,-0.756
76.953,-0.763
76.965,-0.785
76.977,-0.793
76.989,-0.9
77.001,-0.887
77.013,-0.933
77.024,-0.92
77.036,-0.885
77.048,-0.903
77.06,-0.859
77.072,-0.824
77.084,-0.817
77.095,-0.749
77.107,-0.305
77.119,1.196
77.131,2.728
77.143,2.923
77.155,2.848
77.166,3.163
77.178,2.135
77.19,1.129
77.202,0.648
77.214,-0.194
77.226,-0.622
77.237,-0.736
77.249,-0.73
77.261,-0.723
77.273,-0.62
77.285,0.031
77.297,0.15
77.308,0.411
77.32,0.23
77.332,0.44
77.344,0.013
77.356,-0.152
77.368,-0.248
77.379,-0.6
77.391,-0.808
77.403,-0.731
77.415,-0.78
77.427,-0.679
77.438,-0.743
77.45,-0.573
77.462,-0.48
77.474,-0.479
77.486,-0.38
77.498,-0.469
77.509,-0.244
77.521,-0.258
77.533,0.118
77.545,-0.039
77.557,0.059
77.569,0.008
77.58,-0.224
77.592,-0.276
77.604,-0.672
77.616,-0.859
77.628,-0.943
77.64,-0.796
77.651,-0.777
77.663,-0.766
77.675,-0.613
77.687,-0.424
77.699,-0.483
77.71,-0.295
77.722,-0.242
77.734,0.021
77.746,0.052
77.758,-0.082
77.77,0.008
77.781,0.084
77.793,0.204
77.805,-0.314
77.817,-0.414
77.829,-0.666
77.84,-0.77
77.852,-0.833
77.864,-0.883
77.876,-0.705
77.888,-0.675
77.9,-0.675
77.911,-0.494
77.923,-0.351
77.935,-0.042
77.947,0.521
77.959,0.73
77.97,1.231
77.982,1.395
77.994,1.432
78.006,2.094
78.018,3.156
78.029,3.598
78.041,3.561
78.053,2.687
78.065,1.339
78.077,-0.542
78.088,-0.676
78.1,-0.608
78.112,-0.659
78.124,-0.614
78.136,-0.846
78.147,-0.838
78.159,-0.673
78.171,-0.696
78.183,-0.658
78.195,-0.621
78.206,-0.382
78.218,-0.323
78.23,-0.167
78.242,-0.332
78.254,0.186
78.265,0.471
78.277,0.892
78.289,0.962
78.301,0.838
78.313,0.811
78.324,0.506
78.336,0.231
78.348,0.216
78.36,0.021
78.372,-0.198
78.383,-0.181
78.395,-0.24
78.407,-0.458
78.419,-0.481
78.431,-0.355
78.442,-0.192
78.454,0.056
78.466,0.084
78.478,0.239
78.49,0.506
78.501,0.391
78.513,0.51
78.525,0.547
